CAMPO,CONTRATO,CUENCA,EMPRESA,DEPARTAMENTO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
Castilla,Cubarral,Llanos Orientales,ECOPETROL S.A.,Meta,67868,70704,68041,60985,65974,66711,66042,65337,59299,58884,57435,58811
Castilla Este,Castilla,Llanos Orientales,ECOPETROL S.A.,Meta,632,630,598,544,567,567,635,660,574,597,628,623
Castilla Norte,Castilla,Llanos Orientales,ECOPETROL S.A.,Meta,50594,51378,50769,46735,51137,49918,49136,49516,44697,44460,45754,47298
Catalina,Bolivar,Valle Medio del Magdalena,COLOMBIA ENERGY DEVELOPMENT CO.,Cesar,37,34,28,31,27,25,23,19,0,0,0,0
Cebú,Neiva,Valle Superior del Magdalena,ECOPETROL S.A.,Huila,305,282,146,138,150,133,160,137,144,112,139,115
Celeus,Llanos-17,Llanos Orientales,PAREX RESOURCES COLOMBIA,Casanare,0,0,0,0,0,0,0,0,147,564,439,475
Cencella,Orito,Putumayo,ECOPETROL S.A.,Putumayo,0,94,18,31,135,131,129,66,15,122,126,9
Centauro Sur,Campo Rico,Llanos Orientales,EMERALD ENERGY PLC SUCURSAL COLOMBIA,Casanare,575,586,582,440,367,381,365,362,323,307,291,276
Cernicalo,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,113,239,264,226,65,0,102,534,520,519,849,726
Cerro Gordo,Carbonera,Catatumbo,WELL LOGGING,Norte de Santander,2,2,1,3,1,3,3,1,1,3,1,1
Chaman,Sabanero,Llanos Orientales,MAUREL & PROM COLOMBIA B.V.,Meta,62,49,35,30,39,24,25,33,22,26,45,57
Chaparrito,Estero,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,201,219,219,217,213,208,211,217,204,212,212,180
Chenche,Chenche,Valle Superior del Magdalena,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Tolima,42,42,19,0,0,0,0,0,0,0,0,0
Chicalá,Nare,Valle Medio del Magdalena,MANSAROVAR ENERGY COLOMBIA LTD.,Santander,72,70,78,150,135,111,64,77,85,54,114,106
Chichimene,Cubarral,Llanos Orientales,ECOPETROL S.A.,Meta,39230,43325,45772,40026,39241,35600,41516,44285,38877,40091,37022,33752
Chichimene SW,Cubarral,Llanos Orientales,ECOPETROL S.A.,Meta,10668,10909,12698,11931,11952,10493,15726,16490,15076,15380,14229,13133
Chipiron,Chipiron,Llanos Orientales,OCCIDENTAL DE COLOMBIA LLC,Arauca,2952,2688,2539,2994,3030,1689,2698,2794,2824,2053,2448,2475
Chuira,Midas,Valle Medio del Magdalena,UNION TEMPORAL MIDAS,Cesar,34,30,29,27,20,18,2,14,32,31,25,23
Churuyaco,Area Occidental,Putumayo,ECOPETROL S.A.,Putumayo,0,0,0,0,420,379,264,185,22,0,3,77
Cicuco,Cicuco Boquete,Valle Inferior del Magdalena,ECOPETROL S.A.,Bolívar,784,800,802,705,675,688,695,736,739,746,737,740
Ciriguelo,Cachicamo,Llanos Orientales,C&C ENERGÍA,Casanare,192,194,178,177,278,340,376,402,316,316,328,359
Clarinero,Clarinero,Llanos Orientales,HOCOL S.A.,Casanare,0,0,0,0,0,0,2,0,0,0,0,0
Coatí,Coatí,Caguan Putumayo,C&C ENERGÍA,Putumayo,0,0,0,0,0,0,0,0,28,0,0,0
Cobra,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,785,671,546,621,577,499,446,440,365,347,349,352
Cohembí,CPI Suroriente,Putumayo,VETRA EXPLORACION Y PRODUCCION COLOMBIA S.A.S,Putumayo,6885,6892,5863,8585,10184,9595,10110,6756,7265,12174,9565,9829
Colón,La Paloma,Valle Medio del Magdalena,UNION TEMPORAL PETROCARIBE S.A,Santander,457,453,417,458,349,405,472,435,237,401,508,249
Colorado,De Mares,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,250,246,130,153,0.4,0,0,0,0,0,0,0
Copa,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,848,847,974,873,857,755,715,725,849,1073,1049,1253
Copa A Norte,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,0,0,0,454,1142,1068,987,892,1364,1177,1000,979
Copa A Sur,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,830,1972,2058,2265,2024,2253,1984,1798,1491,1242,1132,1063
Copa B,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,968,833,596,674,606,562,493,426,575,714,693,575
Copa C,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,0,0,0,0,0,0,0,78,369,149,496,696
Copa D,Cubiro,Llanos Orientales,ALANGE ENERGY,Casanare,0,0,0,742,1413,1370,1632,1057,1264,1485,2257,2302
Corazon,Las Monas,Valle Medio del Magdalena,PETROSANTANDER (COLOMBIA INC),Santander,62,60,53,41,49,56,50,51,55,53,53,54
Corazon West,Las Monas,Valle Medio del Magdalena,PETROSANTANDER (COLOMBIA INC),Santander,321,300,296,304,291,283,292,268,268,258,254,250
Corcel A,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,264,271,274,275,243,200,186,190,171,193,54,75
Corcel C,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,1318,1298,1263,1224,1156,1131,1110,1101,1036,956,892,869
Corcel D,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,462,459,465,454,416,408,414,423,423,429,426,431
Corcel E,Corcel,Llanos Orientales,PETROMINERALES COLOMBIA LTD.,Meta,922,917,912,915,905,892,882,870,858,832,827,811
Coren,Corocora,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,165,164,153,162,161,158,162,155,158,162,158,155
Corocora,Corocora,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,815,809,788,773,757,738,741,615,502,499,498,483
Corrales,Buenavista,Cordillera Oriental,UNION TEMPORAL OMEGA ENERGY,Boyacá,1714,1644,1583,1528,1478,1498,1429,1364,1208,841,1089,1036
Costayaco,Chaza,Putumayo,GRAN TIERRA ENERGY COLOMBIA LTD,Putumayo,18147,19250,19620,18381,19423,19145,19774,19454,17617,18106,17880,16688
Cravo Este,Casanare,Llanos Orientales,PERENCO COLOMBIA LIMITED,Casanare,642,699,676,579,549,720,626,582,542,548,533,488
Cristalina,Cristalina,Valle Medio del Magdalena,ECOPETROL S.A.,Santander,133,126,127,122,114,92,59,90,127,157,148,144
CSE-8,Caño Sur,Llanos Orientales,ECOPETROL S.A.,Meta,549,361,244,196,162,152,128,126,120,2,0,0
Cubarro,Tiple,Llanos Orientales,CEPCOLSA,Casanare,0,0,0,0,7,45,0,0,0,0,0,0
Cuerva Este,La Cuerva,Llanos Orientales,HUPECOL LLC,Casanare,0,0,15,63,76,58,55,53,49,31,27,26
